"preset_id","business_line_id","category_id","preset_level","preset_name_zh","visual_expression_mode","style_modifier","people_participation","preferred_background_ids","expected_visual_result","notes","inherits_preset_id"
"vp_recycle_all_b","biz_recycle","cat_all","B","回收简洁可信背景款","稳定承托","回收B档统一方案|简单省心值得信任|浅色简洁平面或台面空间|无台或最多1个连续台面|产品自带色彩继承|端正稳定厚重现代标题黑体|克制补贴信息层","否","bg_recycle_service_graphic","简洁可信回收背景","回收暂不按品类细分 B/A/S；各档统一走 B 档式稳定承托；回收浅色背景最多 1 个连续台面，也可以无台面。"
"vp_recycle_all_a","biz_recycle","cat_all","A","回收简洁可信背景款","稳定承托","回收B档统一方案|简单省心值得信任|浅色简洁平面或台面空间|无台或最多1个连续台面|产品自带色彩继承|端正稳定厚重现代标题黑体|克制补贴信息层","否","bg_recycle_service_graphic","简洁可信回收背景","回收 A 档暂映射到 B 档式稳定承托，不展开场景表达；回收浅色背景最多 1 个连续台面，也可以无台面。"
"vp_recycle_all_s","biz_recycle","cat_all","S","回收简洁可信背景款","稳定承托","回收B档统一方案|简单省心值得信任|浅色简洁平面或台面空间|无台或最多1个连续台面|产品自带色彩继承|端正稳定厚重现代标题黑体|克制补贴信息层","否","bg_recycle_service_graphic","简洁可信回收背景","回收 S 档暂映射到 B 档式稳定承托，不展开强主题场景；回收浅色背景最多 1 个连续台面，也可以无台面。"
"vp_n_collectible_b","biz_n_category","cat_collectible_toy","B","潮玩稳定商品款","稳定承托","none","否","bg_graphic_operation|bg_product_podium","稳定商品展示",""
"vp_n_collectible_a","biz_n_category","cat_collectible_toy","A","潮玩手帐纸艺专题款","场景表达","手帐纸艺平面","否","bg_collectible_flat_collage","手帐纸艺专题运营","固定使用撕纸标题区、浅绿网格便签、顶部圆环夹、纸胶带、少量贴纸和虚线涂鸦。"
"vp_n_collectible_s","biz_n_category","cat_collectible_toy","S","潮玩内容专题款","场景表达","none","否","bg_content_topic_flat_3d","内容专题陈列","固定包含可见撕纸边缘，并与平面背景和轻立体陈列融合。"
"vp_n_game_b","biz_n_category","cat_game","B","游戏平面视觉款","稳定承托","flat_game","否","bg_game_flat_light","浅色平面视觉",""
"vp_n_game_a","biz_n_category","cat_game","A","游戏专题背景主视觉款","场景表达","simple_game_scene","否","bg_game_abstract_light","抽象光影专题",""
"vp_n_game_s","biz_n_category","cat_game","S","游戏内容氛围强化款","场景表达","game_topic","否","bg_game_ui_graphic","内容氛围强化",""
"vp_ce_phone_b","biz_consumer_electronics","cat_phone","B","手机极简发布商品款","稳定承托","极简产品发布感|主方向：主体清晰展示/功能局部特写/高级几何承托空间（选一并记录）；可融合另外1-2个辅助方向|浅色强对比/深色强对比（选一并记录）|材质边缘高光|光影策略（选一并记录）","否","bg_light_tech_product_space|bg_clean_gradient_product","极简发布感商品展示",""
